Unnamed: 0,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,kfolds
13,Male,Yes,2,Graduate,None,12173,0.0,166.0,360.0,0.0,Semiurban,-1,0
203,Male,Yes,1,Not Graduate,No,3500,1083.0,135.0,360.0,1.0,Urban,Y,1
156,Male,Yes,2,Graduate,Yes,4246,4246.0,214.0,360.0,1.0,Urban,-1,0
166,Male,No,2,Not Graduate,No,1141,2017.0,120.0,360.0,0.0,Urban,-1,0
509,Female,No,1,Graduate,No,13262,0.0,40.0,360.0,1.0,Urban,Y,1
93,Male,No,0,Graduate,No,4133,0.0,122.0,360.0,1.0,Semiurban,Y,1
317,Male,Yes,0,Not Graduate,No,1700,2900.0,67.0,360.0,0.0,Urban,-1,0
487,Male,Yes,1,Graduate,No,18333,0.0,500.0,360.0,1.0,Urban,N,1
29,Female,No,2,Graduate,None,3750,2083.0,120.0,360.0,1.0,Semiurban,Y,1
157,Male,Yes,0,Graduate,No,4333,2291.0,133.0,350.0,1.0,Rural,-1,0
11,Male,Yes,2,Graduate,None,2500,1840.0,109.0,360.0,1.0,Urban,Y,1
573,Male,Yes,2,Not Graduate,No,6125,1625.0,187.0,480.0,1.0,Semiurban,N,1
541,Female,No,0,Graduate,No,2138,0.0,99.0,360.0,0.0,Semiurban,N,1
328,Male,Yes,3+,Graduate,Yes,6958,1411.0,150.0,360.0,1.0,Rural,-1,0
175,Male,Yes,0,Graduate,No,3497,1964.0,116.0,360.0,1.0,Rural,Y,1
217,Male,Yes,0,Graduate,No,7830,2183.0,212.0,360.0,1.0,Rural,-1,0
289,Male,No,0,Graduate,No,9508,0.0,187.0,360.0,1.0,Rural,Y,1
57,Male,Yes,2,Graduate,No,3613,3539.0,134.0,180.0,1.0,Semiurban,-1,0
157,Male,Yes,1,Graduate,No,9538,0.0,187.0,360.0,1.0,Urban,Y,1
164,Male,Yes,0,Graduate,No,9323,0.0,75.0,180.0,1.0,Urban,Y,1
205,Male,Yes,0,Graduate,No,2613,2417.0,123.0,360.0,1.0,Semiurban,-1,0
504,Male,Yes,0,Not Graduate,No,3814,1483.0,124.0,300.0,1.0,Semiurban,Y,1
263,Female,No,0,Graduate,No,7200,0.0,120.0,360.0,1.0,Rural,Y,1
387,Male,Yes,0,Not Graduate,No,3010,3136.0,0.0,360.0,0.0,Urban,N,1
163,Female,No,0,Graduate,No,2708,0.0,65.0,360.0,1.0,Rural,-1,0
436,Male,No,0,Graduate,No,1926,1851.0,50.0,360.0,1.0,Semiurban,Y,1
537,Male,No,2,Graduate,No,3617,0.0,107.0,360.0,1.0,Semiurban,Y,1
38,Male,No,0,Graduate,Yes,5833,0.0,116.0,360.0,1.0,Urban,-1,0
533,Male,No,1,Graduate,No,11250,0.0,196.0,360.0,None,Semiurban,N,1
415,Female,No,0,Graduate,No,2995,0.0,60.0,360.0,1.0,Urban,Y,1
39,Male,No,0,Not Graduate,No,3748,1668.0,110.0,360.0,1.0,Semiurban,Y,1
331,Male,Yes,3+,Graduate,No,9699,0.0,300.0,360.0,1.0,Urban,-1,0
570,Male,Yes,1,Graduate,No,3417,1750.0,186.0,360.0,1.0,Urban,Y,1
323,Male,No,1,Graduate,None,16000,5000.0,40.0,360.0,1.0,Semiurban,-1,0
563,Male,No,0,Not Graduate,Yes,5800,0.0,132.0,360.0,1.0,Semiurban,Y,1
178,Male,Yes,1,Graduate,No,3750,0.0,116.0,360.0,1.0,Semiurban,Y,1
47,Male,Yes,0,Graduate,No,5821,0.0,144.0,360.0,1.0,Urban,Y,1
301,Male,Yes,None,Not Graduate,No,2875,1750.0,105.0,360.0,1.0,Semiurban,Y,1
324,Male,Yes,3+,Graduate,No,15000,0.0,300.0,360.0,1.0,Rural,Y,1
329,Female,No,0,Graduate,No,2500,0.0,67.0,360.0,1.0,Urban,Y,1
170,Male,Yes,0,Not Graduate,None,1820,1769.0,95.0,360.0,1.0,Rural,Y,1
43,Male,Yes,0,Graduate,No,3941,2336.0,134.0,360.0,1.0,Semiurban,Y,1
611,Male,Yes,1,Graduate,No,8072,240.0,253.0,360.0,1.0,Urban,Y,1
49,Female,No,0,Graduate,No,4000,2275.0,144.0,360.0,1.0,Semiurban,Y,1
492,Male,No,0,Not Graduate,No,3691,0.0,110.0,360.0,1.0,Rural,Y,1
437,Male,Yes,0,Graduate,No,2213,1125.0,0.0,360.0,1.0,Urban,Y,1
121,Male,Yes,0,Graduate,No,2333,3803.0,146.0,360.0,1.0,Rural,-1,0
503,Male,Yes,1,Not Graduate,No,4050,5302.0,138.0,360.0,None,Rural,N,1
177,Female,No,0,Graduate,No,2918,0.0,65.0,360.0,None,Rural,-1,1
132,Male,Yes,1,Graduate,Yes,3343,1517.0,105.0,360.0,1.0,Rural,-1,1
557,Male,Yes,3+,Graduate,Yes,10139,0.0,260.0,360.0,1.0,Semiurban,Y,1
8,Male,Yes,2,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,Y,1
257,Male,Yes,3+,Graduate,No,5250,0.0,94.0,360.0,1.0,Urban,N,1
389,Male,Yes,0,Graduate,No,5488,0.0,125.0,360.0,1.0,Rural,Y,1
505,Male,Yes,2,Graduate,No,3510,4416.0,243.0,360.0,1.0,Rural,Y,1
218,Male,Yes,2,Graduate,None,5000,0.0,72.0,360.0,0.0,Semiurban,N,1
277,Male,Yes,0,Graduate,No,3103,1300.0,80.0,360.0,1.0,Urban,Y,1
283,Female,No,0,Graduate,No,1811,1666.0,54.0,360.0,1.0,Urban,Y,1
433,Male,Yes,0,Graduate,No,2425,2340.0,143.0,360.0,1.0,Semiurban,Y,1
228,Male,No,0,Graduate,No,2412,2755.0,130.0,360.0,1.0,Rural,-1,1
239,Male,No,0,Graduate,No,4333,0.0,66.0,480.0,1.0,Urban,-1,1
146,Female,Yes,2,Graduate,No,14866,0.0,70.0,360.0,1.0,Urban,Y,1
498,Male,Yes,1,Graduate,Yes,2895,0.0,95.0,360.0,1.0,Semiurban,Y,1
366,Male,No,0,Graduate,No,2500,0.0,96.0,480.0,1.0,Semiurban,N,1
18,Male,Yes,0,Graduate,No,9226,7916.0,300.0,360.0,1.0,Urban,-1,1
153,Male,Yes,1,Not Graduate,No,2463,2360.0,117.0,360.0,0.0,Urban,-1,1
507,None,No,0,Graduate,No,3583,0.0,96.0,360.0,1.0,Urban,N,1
355,Female,No,None,Graduate,No,3813,0.0,116.0,180.0,1.0,Urban,Y,1
199,Male,Yes,0,Graduate,Yes,1900,1442.0,88.0,360.0,1.0,Rural,-1,1
252,Male,No,0,Not Graduate,Yes,2583,2167.0,104.0,360.0,1.0,Rural,Y,1
463,Female,No,1,Not Graduate,None,5191,0.0,132.0,360.0,1.0,Semiurban,Y,1
251,Female,No,2,Graduate,No,3427,0.0,138.0,360.0,1.0,Urban,N,1
298,Female,Yes,2,Not Graduate,No,3729,0.0,117.0,360.0,1.0,Semiurban,-1,1
469,Male,Yes,0,Graduate,No,4333,2451.0,110.0,360.0,1.0,Urban,N,1
1,Male,Yes,1,Graduate,No,4583,1508.0,128.0,360.0,1.0,Rural,N,1
379,Male,Yes,2,Graduate,No,5391,0.0,130.0,360.0,1.0,Urban,Y,1
316,Female,Yes,0,Graduate,No,4283,0.0,120.0,360.0,1.0,Rural,-1,1
428,Male,Yes,0,Graduate,No,2920,16.12000084,87.0,360.0,1.0,Rural,Y,1
506,Male,Yes,0,Graduate,No,20833,6667.0,480.0,360.0,None,Urban,Y,1
8,Male,Yes,2,Graduate,None,13633,0.0,280.0,240.0,1.0,Urban,-1,1
245,Male,No,0,Graduate,Yes,6050,4333.0,120.0,180.0,1.0,Urban,N,1
154,Male,Yes,2,Graduate,No,4855,0.0,72.0,360.0,1.0,Rural,-1,1
89,Female,No,0,Graduate,None,5058,0.0,200.0,360.0,1.0,Rural,-1,1
333,Female,Yes,0,Graduate,No,4709,0.0,113.0,360.0,1.0,Semiurban,-1,1
101,Male,No,0,Graduate,No,4843,3806.0,151.0,360.0,1.0,Semiurban,Y,1
365,Male,Yes,0,Graduate,No,5000,2393.0,158.0,360.0,1.0,Rural,-1,1
548,Female,No,0,Graduate,No,5000,0.0,103.0,360.0,0.0,Semiurban,N,1
98,Male,Yes,0,Not Graduate,No,4188,0.0,115.0,180.0,1.0,Semiurban,Y,1
30,Male,Yes,1,Graduate,None,4166,3369.0,201.0,360.0,None,Urban,N,1
411,Male,Yes,0,Graduate,None,6256,0.0,160.0,360.0,None,Urban,Y,1
126,None,Yes,3+,Graduate,No,23803,0.0,370.0,360.0,1.0,Rural,Y,1
66,Male,No,0,Not Graduate,No,3200,2254.0,126.0,180.0,0.0,Urban,N,1
414,Female,Yes,0,Not Graduate,No,2149,3237.0,178.0,360.0,0.0,Semiurban,N,1
29,Male,No,0,Graduate,No,2942,2382.0,125.0,180.0,1.0,Urban,-1,1
365,Male,No,0,Not Graduate,No,6216,0.0,133.0,360.0,1.0,Rural,N,1
440,Male,No,0,Graduate,No,3660,5064.0,187.0,360.0,1.0,Semiurban,Y,1
351,Male,No,0,Graduate,No,2283,15000.0,106.0,360.0,None,Rural,-1,1
473,Female,No,0,Graduate,Yes,2500,0.0,93.0,360.0,None,Urban,Y,1
46,Male,Yes,None,Not Graduate,No,4163,1475.0,162.0,360.0,1.0,Urban,-1,1
13,Male,No,0,Graduate,No,1853,2840.0,114.0,360.0,1.0,Rural,N,1
166,Female,Yes,0,Graduate,No,4583,0.0,112.0,360.0,1.0,Rural,N,1
131,Male,No,0,Graduate,No,3391,0.0,132.0,360.0,1.0,Rural,-1,1
395,Male,Yes,2,Graduate,No,3276,484.0,135.0,360.0,None,Semiurban,Y,1
515,Male,Yes,3+,Graduate,No,3466,3428.0,150.0,360.0,1.0,Rural,Y,1
291,Male,Yes,2,Graduate,No,3166,2833.0,145.0,360.0,1.0,Urban,-1,1
79,Female,Yes,0,Graduate,No,7950,0.0,185.0,360.0,1.0,Urban,-1,1
